file_path,target,train_val,video_feature
DC11236Z_2980500_2982500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_618500_620500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_647500_649500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1390500_1392500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_316000_318000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1771000_1773000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1744500_1746500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1899500_1901500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1116000_1118000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1572000_1574000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2994000_2996000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_19500_21500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_670500_672500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1546500_1548500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1506500_1508500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_873000_875000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2084500_2086500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2232000_2234000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2184500_2186500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3108000_3110000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_627000_629000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1246500_1248500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_267500_269500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_538500_540500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2012500_2014500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3275500_3277500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2352000_2354000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1507000_1509000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1548500_1550500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3051000_3053000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2640000_2642000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_829000_831000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1080500_1082500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1048000_1050000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3073500_3075500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_250000_252000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1175500_1177500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1558500_1560500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1910000_1912000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3085000_3087000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3049000_3051000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_842500_844500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1695500_1697500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2799500_2801500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1621500_1623500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1634000_1636000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_2975500_2977500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1934500_1936500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_3064500_3066500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1638500_1640500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_238500_240500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_688500_690500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_732500_734500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1690500_1692500_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
DC11236Z_1209000_1211000_500__0.npy,0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
